order_id,order_date,region,country,category,product,customer_segment,sales_rep,quantity,unit_price,discount,revenue
100235,2024-01-01,Asia Pacific,Japan,Software,Security Suite,Enterprise,C. Okafor,5,397.15,0.1,1787.18
101362,2024-01-02,North America,Mexico,Office Supplies,Pen Set,Consumer,F. Larsson,2,15.09,0.07,28.07
100334,2024-01-02,North America,Mexico,Furniture,Bookshelf,Enterprise,B. Nguyen,8,151.04,0.1,1087.49
100644,2024-01-02,North America,Canada,Electronics,Monitor,SMB,B. Nguyen,4,236.94,0.08,871.94
100925,2024-01-03,North America,United States,Software,CRM License,SMB,F. Larsson,5,371.01,0.0,1855.05
100559,2024-01-03,Europe,Spain,Software,CRM License,Consumer,C. Okafor,1,331.91,0.11,295.4
100895,2024-01-03,North America,Mexico,Office Supplies,Notebook,SMB,C. Okafor,3,7.7,0.0,23.1
100121,2024-01-03,Asia Pacific,India,Office Supplies,Pen Set,Enterprise,E. Haddad,7,13.54,0.0,94.78
100647,2024-01-04,Europe,Italy,Furniture,Bookshelf,SMB,C. Okafor,3,162.06,0.02,476.46
100537,2024-01-04,Europe,Germany,Office Supplies,Stapler,SMB,A. Fischer,4,11.45,0.1,41.22
100984,2024-01-05,North America,United States,Electronics,Smartphone,SMB,C. Okafor,2,719.24,0.03,1395.33
100046,2024-01-05,Latin America,Chile,Electronics,Smartphone,SMB,D. Rossi,8,670.05,0.05,5092.38
100735,2024-01-06,North America,Mexico,Office Supplies,Stapler,Consumer,C. Okafor,1,12.56,0.11,11.18
100760,2024-01-06,North America,Mexico,Furniture,Office Chair,Consumer,E. Haddad,1,215.45,0.0,215.45
101048,2024-01-06,Europe,Germany,Office Supplies,Pen Set,SMB,A. Fischer,1,14.71,0.0,14.71
101032,2024-01-06,Asia Pacific,Japan,Electronics,Laptop,Consumer,C. Okafor,5,1070.0,0.07,4975.5
100718,2024-01-07,Europe,France,Electronics,Laptop,SMB,,3,987.28,0.0,2961.84
100651,2024-01-08,North America,United States,Furniture,Bookshelf,SMB,B. Nguyen,2,162.65,0.16,273.25
100192,2024-01-08,Latin America,Chile,Office Supplies,Stapler,SMB,B. Nguyen,4,12.17,0.06,45.76
100946,2024-01-08,North America,United States,Electronics,Monitor,SMB,C. Okafor,3,239.97,0.02,705.51
100487,2024-01-08,Europe,United Kingdom,Electronics,Headphones,Consumer,A. Fischer,2,115.68,0.05,219.79
100921,2024-01-08,Latin America,Brazil,Office Supplies,Stapler,SMB,A. Fischer,2,11.83,0.05,22.48
100887,2024-01-08,Latin America,Argentina,Furniture,Office Chair,Consumer,E. Haddad,1,210.95,0.05,200.4
100456,2024-01-09,North America,Canada,Software,CRM License,Enterprise,C. Okafor,8,352.47,0.03,2735.17
